city,zip_code,longitude,latitude,city_id
Parkland,98446,-122.37747,47.09665,944892805121
Pasc,99301,-119.09467,46.23542,601295421441
Pasco,99301,-119.09467,46.23542,695784701953
Pateros,98846,-119.89975,48.05502,833223655426
Paterson,99345,-119.60311,45.93967,1185410973703
Pe Ell,98572,-123.29831,46.57001,472446402563
Peshastin,98847,-120.60364,47.56805,721554505730
Plymouth,99346,-119.35107,45.93559,1640677507074
Point Roberts,98281,-123.05688,48.98867,463856467968
Pomeroy,99347,-117.58937,46.47398,506806140932
Port Angeles,98362,-123.43112,48.11892,249108103168
Port Angeles,98363,-123.45711,48.12636,472446402561
Port Gamble,98370,-122.64681,47.73689,4
Port Hadlock,98339,-122.75878,48.03591,996432412674
Port Ludlow,98365,-122.68475,47.92989,1236950581248
Port Orchard,98367,-122.68471,47.50524,498216206336
Port Orchard,98366,-122.63847,47.54103,489626271744
Port Orchard,98312,-122.65223,47.57192,1228360646658
Port Orchard,98329,-122.6658,47.38336,1614907703298
Port Townsend,98368,-122.77263,48.1212,206158430209
Port Townsend,98325,-122.77328,48.01182,128849018885
Poulsbo,98370,-122.64681,47.73689,1623497637888
Poulsbo,98392,-122.55242,47.73162,901943132161
Pouslbo,98370,-122.64681,47.73689,1168231104519
Prescott,99348,-118.31243,46.29961,1297080123394
Preston,98027,-122.03439,47.5301,790273982467
Preston,98050,-121.93846,47.54369,970662608900
Preston,98024,-121.89086,47.56812,223338299392
Pros,99350,-119.76904,46.20663,1168231104520
Prosser,99350,-119.76904,46.20663,1340029796353
Pullman,99163,-117.18147,46.73015,231928233985
Puyallup,98371,-122.29521,47.19045,970662608898
Puyallup,98374,-122.27575,47.13959,1039382085632
Puyallup,98375,-122.30855,47.10424,1649267441664
Puyallup,98373,-122.2988,47.13795,300647710720
Puyallup,98372,-122.28504,47.19434,1211180777472
Quilcene,98376,-122.8775,47.82642,893353197572
Quinault,98575,-123.84618,47.46807,1477468749827
Quincy,98848,-119.85338,47.23748,1245540515842
Rainier,98576,-122.68993,46.88897,773094113282
Randle,98377,-121.95585,46.53534,1511828488193
Ravensdale,98038,-122.04526,47.39394,1357209665540
Ravensdale,98051,-121.98233,47.35298,670014898177
Raymond,98577,-123.72994,46.68867,1022202216451
Reardan,99029,-117.87704,47.66951,1314259992578
Redmond,98033,-122.2066,47.67887,618475290624
Redmond,98074,-122.02054,47.60326,274877906947
Redmond,98053,-122.03287,47.68555,790273982464
Redmond,98014,-121.91353,47.64901,377957122048
Redmond,98052,-122.13158,47.67858,292057776129
Redmond,98072,-122.15545,47.75448,403726925828
Renton,98058,-122.08747,47.4466,386547056641
Renton,98059,-122.15716,47.48852,506806140928
Renton,98057,-122.20489,47.47532,1365799600129
Renton,98178,-122.23825,47.49461,1030792151042
Renton,98027,-122.03439,47.5301,790273982472
Renton,98031,-122.17743,47.41185,317827579906
Renton,98056,-122.1805,47.50006,1340029796352
Renton,98042,-122.09124,47.33778,523986010112
Renton,98038,-122.04526,47.39394,506806140935
Renton,98055,-122.197,47.43876,1606317768704
Republic,99166,-118.73748,48.64426,1279900254211
Rice,99167,-118.16165,48.42934,420906795012
Rich,99352,-119.27372,46.27391,901943132162
Richland,99352,-119.27372,46.27391,1348619730946
Richland,99338,-119.3118,46.20664,1279900254212
Richland,99354,-119.26844,46.31484,1185410973698
Ridgefield,98642,-122.74595,45.81539,1185410973697
Ritzville,99169,-118.37977,47.1274,1486058684417
Riverside,98849,-119.50853,48.50119,1675037245441
